FECHA;MEDIO;MODALIDAD DE ROBO;TIPO DE ARMA;EDAD VÍCTIMA;EDAD DELINCUENTE;GÉNERO VÍCTIMA;GÉNERO DELINCUENTE;DISTRITO;MUERTOS;HERIDOS;OCUPACIÓN
01/03/2017;Perú21;Marcaje;Pistola;56-100;15-21;Hombre;Hombre ;La Victoria;0;1;Cambista
01/03/2017;Canal N;Asalto;Pistola;15-21;22-34;Mujer;Hombre ;El Agustino;0;0;Cambista
01/03/2017;Perú21;Marcaje;Pistola;35-55;22-34;Hombre;Varios ;Miraflores;0;0;Cambista
05/03/2017;Trome;Sicariato;Pistola;22-34;35-55;Hombre;Hombre;Ate;1;0;Obrero
02/03/2017;América TV;Asalto;Pistola;22-34;15-21;Varios ;Varios ;San Juan de Lurigancho;0;0;Cambista
03/03/2017;La República;Hurto;Sin arma;22-34;35-55;Hombre;Varios ;Ate;0;0;Fiscal
03/03/2017;La República;Hurto;Otros;56-100;15-21;Hombre;Varios ;Cercado de Lima;0;0;Vigilante
03/03/2017;Perú21;Hurto;Otros;15-21;0-14;Mujer;Varios ;Cercado de Lima;0;0;Estudiante
03/03/2017;Latina;Asalto;Pistola;56-100;15-21;Varios;Hombre;Comas;0;1;Empresario
04/03/2017;El Popular;Asalto;Pistola;15-21;22-34;Hombre;Hombre ;Callao;0;0;Chofer
11/03/2017;El Popular;Asalto;Pistola;35-55;22-34;Hombre;Hombre;Callao;0;1;Chofer
27/03/2017;La República;Raqueteo;Arma Blanca;56-100;35-55;Hombre;Hombre;Ate;1;0;Estudiante
07/03/2017;Exitosa;Asalto;Pistola;15-21;35-55;Mujer;Hombre ;Carabayllo;1;2;comerciante
05/03/2017;Ojo;Marcaje;Pistola;15-21;22-34;Mujer;Hombre;La Victoria;0;2;Empresario
05/03/2017;Ojo;Asalto;Pistola;56-100;15-21;Varios ;Hombre ;Los Olivos;0;0;Empresario
07/03/2017;Perú21;Raqueteo;Pistola;35-55;22-34;Hombre ;Varios;Carabayllo;1;2;Chofer
05/03/2017;La República;Asalto;Pistola;56-100;35-55;Varios ;Hombre ;Villa María del Triunfo;0;3;comerciante
